영양소,연령대,성별,임신여부,수유여부,권장섭취량,충분섭취량,상한섭취량,단위,출처,기관,비고,출처_URL
비타민 E,19~29세,남성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,19~29세,여성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,30~49세,남성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,30~49세,여성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,50~64세,남성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,50~64세,여성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,65세 이상,남성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 E,65세 이상,여성,해당없음,해당없음,,12,540,mg α-TE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,19~29세,남성,해당없음,해당없음,,80,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,19~29세,여성,해당없음,해당없음,,70,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,30~49세,남성,해당없음,해당없음,,80,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,30~49세,여성,해당없음,해당없음,,70,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,50~64세,남성,해당없음,해당없음,,80,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,50~64세,여성,해당없음,해당없음,,70,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,65세 이상,남성,해당없음,해당없음,,80,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 K,65세 이상,여성,해당없음,해당없음,,70,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,19~29세,남성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,19~29세,여성,해당없음,해당없음,1.1,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,30~49세,남성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,30~49세,여성,해당없음,해당없음,1.1,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,50~64세,남성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,50~64세,여성,해당없음,해당없음,1.1,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,65세 이상,남성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B1,65세 이상,여성,해당없음,해당없음,1.1,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,19~29세,남성,해당없음,해당없음,1.5,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,19~29세,여성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,30~49세,남성,해당없음,해당없음,1.5,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,30~49세,여성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,50~64세,남성,해당없음,해당없음,1.5,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,50~64세,여성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,65세 이상,남성,해당없음,해당없음,1.5,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B2,65세 이상,여성,해당없음,해당없음,1.2,,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,19~29세,남성,해당없음,해당없음,16,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,19~29세,여성,해당없음,해당없음,14,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,30~49세,남성,해당없음,해당없음,16,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,30~49세,여성,해당없음,해당없음,14,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,50~64세,남성,해당없음,해당없음,16,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,50~64세,여성,해당없음,해당없음,14,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,65세 이상,남성,해당없음,해당없음,16,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
나이아신,65세 이상,여성,해당없음,해당없음,14,,35,mg NE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,19~29세,남성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,19~29세,여성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,30~49세,남성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,30~49세,여성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,50~64세,남성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,50~64세,여성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,65세 이상,남성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
판토텐산,65세 이상,여성,해당없음,해당없음,,5,,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,19~29세,남성,해당없음,해당없음,1.5,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,19~29세,여성,해당없음,해당없음,1.4,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,30~49세,남성,해당없음,해당없음,1.5,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,30~49세,여성,해당없음,해당없음,1.4,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,50~64세,남성,해당없음,해당없음,1.5,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,50~64세,여성,해당없음,해당없음,1.4,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,65세 이상,남성,해당없음,해당없음,1.5,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B6,65세 이상,여성,해당없음,해당없음,1.4,,100,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,19~29세,남성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,19~29세,여성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,30~49세,남성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,30~49세,여성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,50~64세,남성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,50~64세,여성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,65세 이상,남성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비오틴,65세 이상,여성,해당없음,해당없음,,30,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,19~29세,남성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,19~29세,여성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,30~49세,남성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,30~49세,여성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,50~64세,남성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,50~64세,여성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,65세 이상,남성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
엽산,65세 이상,여성,해당없음,해당없음,400,,1000,μg DFE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,19~29세,남성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,19~29세,여성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,30~49세,남성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,30~49세,여성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,50~64세,남성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,50~64세,여성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,65세 이상,남성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 B12,65세 이상,여성,해당없음,해당없음,2.4,,,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
칼슘,19~29세,남성,해당없음,해당없음,800,,2500,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
칼슘,19~29세,여성,해당없음,해당없음,700,,2500,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
칼슘,30~49세,남성,해당없음,해당없음,800,,2500,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
칼슘,30~49세,여성,해당없음,해당없음,700,,2500,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
칼슘,50~64세,남성,해당없음,해당없음,800,,2500,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
칼슘,50~64세,여성,해당없음,해당없음,700,,2500,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
